Roll Number,Rubrics Marks (20),Script Marks (15),Attendance Marks (5)
A23126520184,18,14,2
A23126520185,18,14,3
A23126520186,18,14,4
A23126520187,19,12,2
A23126520188,20,14,2
A23126520189,19,14,0
A23126520190,20,14,2
A23126520191,19,14,0
A23126520192,17,14,3
A23126520193,18,14,4
A23126520194,19,12,3
A23126520195,19,14,2
A23126520196,20,10,0
A23126520197,19,14,2
A23126520198,18,14,4
A23126520199,20,14,5
A23126520200,20,14,4
A23126520201,19,14,3
A23126520202,17,13,2
A23126520203,20,14,5
A23126520204,19,14,3
A23126520205,19,14,5
A23126520206,18,14,0
A23126520207,19,14,5
A23126520208,20,14,3
A23126520209,20,14,3
A23126520210,19,13,2
A23126520211,19,14,4
A23126520212,19,14,0
A23126520213,19,14,4
A23126520214,20,14,5
A23126520215,16,14,0
A23126520216,18,13,0
A23126520217,20,14,3
A23126520218,20,14,5
A23126520219,19,14,4
A23126520220,19,14,2
A23126520221,17,14,0
A23126520222,20,14,2
A23126520223,20,14,4
A23126520224,20,14,3
A23126520225,19,14,0
A23126520226,19,14,3
A23126520227,19,14,2
A23126520228,19,14,3
A23126520230,20,14,3
A23126520231,15,14,0
A23126520232,19,13,2
A23126520233,19,14,2
A23126520234,19,14,4
A23126520236,19,14,2
A23126520237,20,14,3
A23126520238,19,14,4
A23126520239,19,14,2
A23126520240,19,14,2
A23126520241,20,14,3
A23126520242,19,14,2
A23126520243,19,14,4
A23126520244,19,14,3
A23126520245,18,14,3
A23126520246,19,14,2
A23126520247,19,14,2
A23126520248,19,14,3
A23126520249,20,14,4
A23126520250,19,14,2
